dataset_id,dataset_order,dataset_name,presence_only_flag,exclude,theme,use_for_risk
590,590,TMF_deg_2021,0,0,disturbance_after,
600,600,TMF_deg_2022,0,0,disturbance_after,
610,610,GFC_loss_year_2001,0,0,disturbance_before,
620,620,GFC_loss_year_2002,0,0,disturbance_before,
630,630,GFC_loss_year_2003,0,0,disturbance_before,
640,640,GFC_loss_year_2004,0,0,disturbance_before,
650,650,GFC_loss_year_2005,0,0,disturbance_before,
660,660,GFC_loss_year_2006,0,0,disturbance_before,
670,670,GFC_loss_year_2007,0,0,disturbance_before,
680,680,GFC_loss_year_2008,0,0,disturbance_before,
690,690,GFC_loss_year_2009,0,0,disturbance_before,
700,700,GFC_loss_year_2010,0,0,disturbance_before,
710,710,GFC_loss_year_2011,0,0,disturbance_before,
720,720,GFC_loss_year_2012,0,0,disturbance_before,
730,730,GFC_loss_year_2013,0,0,disturbance_before,
740,740,GFC_loss_year_2014,0,0,disturbance_before,
750,750,GFC_loss_year_2015,0,0,disturbance_before,
760,760,GFC_loss_year_2016,0,0,disturbance_before,
770,770,GFC_loss_year_2017,0,0,disturbance_before,
780,780,GFC_loss_year_2018,0,0,disturbance_before,
790,790,GFC_loss_year_2019,0,0,disturbance_before,
800,800,GFC_loss_year_2020,0,0,disturbance_before,
810,810,GFC_loss_year_2021,0,0,disturbance_after,
820,820,GFC_loss_year_2022,0,0,disturbance_after,
830,830,GFC_loss_year_2023,0,0,disturbance_after,
840,840,RADD_year_2019,0,0,disturbance_before,
850,850,RADD_year_2020,0,0,disturbance_before,
860,860,RADD_year_2021,0,0,disturbance_after,
870,870,RADD_year_2022,0,0,disturbance_after,
880,880,RADD_year_2023,0,0,disturbance_after,
890,890,RADD_year_2024,0,0,disturbance_after,
900,900,ESA_fire_2001,0,0,disturbance_before,
910,910,ESA_fire_2002,0,0,disturbance_before,
920,920,ESA_fire_2003,0,0,disturbance_before,
930,930,ESA_fire_2004,0,0,disturbance_before,
940,940,ESA_fire_2005,0,0,disturbance_before,
950,950,ESA_fire_2006,0,0,disturbance_before,
960,960,ESA_fire_2007,0,0,disturbance_before,
970,970,ESA_fire_2008,0,0,disturbance_before,
980,980,ESA_fire_2009,0,0,disturbance_before,
990,990,ESA_fire_2010,0,0,disturbance_before,
1000,1000,ESA_fire_2011,0,0,disturbance_before,
1010,1010,ESA_fire_2012,0,0,disturbance_before,
1020,1020,ESA_fire_2013,0,0,disturbance_before,
1030,1030,ESA_fire_2014,0,0,disturbance_before,
1040,1040,ESA_fire_2015,0,0,disturbance_before,
1050,1050,ESA_fire_2016,0,0,disturbance_before,
1060,1060,ESA_fire_2017,0,0,disturbance_before,
1070,1070,ESA_fire_2018,0,0,disturbance_before,
1080,1080,ESA_fire_2019,0,0,disturbance_before,
1090,1090,ESA_fire_2020,0,0,disturbance_before,
1095,1095,MODIS_fire_2001,0,0,disturbance_before,
1100,1100,MODIS_fire_2001,0,0,disturbance_before,
1110,1110,MODIS_fire_2002,0,0,disturbance_before,
1120,1120,MODIS_fire_2003,0,0,disturbance_before,
1130,1130,MODIS_fire_2004,0,0,disturbance_before,
1140,1140,MODIS_fire_2005,0,0,disturbance_before,
1150,1150,MODIS_fire_2006,0,0,disturbance_before,
1160,1160,MODIS_fire_2007,0,0,disturbance_before,
1170,1170,MODIS_fire_2008,0,0,disturbance_before,
1180,1180,MODIS_fire_2009,0,0,disturbance_before,
1190,1190,MODIS_fire_2010,0,0,disturbance_before,
1200,1200,MODIS_fire_2011,0,0,disturbance_before,
1210,1210,MODIS_fire_2012,0,0,disturbance_before,
1220,1220,MODIS_fire_2013,0,0,disturbance_before,
1230,1230,MODIS_fire_2014,0,0,disturbance_before,
1240,1240,MODIS_fire_2015,0,0,disturbance_before,
1250,1250,MODIS_fire_2016,0,0,disturbance_before,
1260,1260,MODIS_fire_2017,0,0,disturbance_before,
1270,1270,MODIS_fire_2018,0,0,disturbance_before,
1280,1280,MODIS_fire_2019,0,0,disturbance_before,
1290,1290,MODIS_fire_2020,0,0,disturbance_before,
1300,1300,MODIS_fire_2021,0,0,disturbance_after,
1310,1310,MODIS_fire_2022,0,0,disturbance_after,
1320,1320,MODIS_fire_2023,0,0,disturbance_after,
1330,1330,MODIS_fire_2024,0,0,disturbance_after,
1340,1340,TMF_deg_before_2020,0,0,disturbance_before,1
1350,1350,TMF_def_before_2020,0,0,disturbance_before,1
1360,1360,GFC_loss_before_2020,0,0,disturbance_before,1
1370,1370,ESA_fire_before_2020,0,0,disturbance_before,1
1380,1380,MODIS_fire_before_2020,0,0,disturbance_before,1
1390,1390,RADD_before_2020,0,0,disturbance_before,1
1400,1400,TMF_deg_after_2020,0,0,disturbance_after,1
1410,1410,TMF_def_after_2020,0,0,disturbance_after,1
1420,1420,GFC_loss_after_2020,0,0,disturbance_after,1
1430,1430,MODIS_fire_after_2020,0,0,disturbance_after,1
1440,1440,RADD_after_2020,0,0,disturbance_after,1
