PLOTID,Geo id,Area ha,Country,EUFO 2020,GLAD Primary,TMF undist,JAXA FNF 2020,GFC TC 2020,GLAD LULC 2020,ESA TC 2020,TMF disturbed,RADD alerts,TMF plant,Oil palm Descals,Oil palm FDaP,Cocoa ETH,WDPA
477,9,0.9,CIV,0,0,0,100,100,0,86,0,-,0,0,0,0,-
478,a,0.9,CIV,100,0,0,100,100,100,100,46,-,0,0,0,0,-
479,9,0.9,CIV,0,0,0,100,55,18,100,0,-,0,0,0,0,-
480,a,0.9,CIV,86,0,0,100,99,70,68,9,-,0,0,0,80,-
481,e,0.9,CIV,100,0,0,100,100,100,100,84,-,0,0,0,70,-
482,1,0.9,CIV,59,0,0,100,100,32,0,0,-,0,0,0,0,-
483,2,0.9,CIV,3,0,0,97,78,37,44,6,-,0,0,0,19,-
484,c,0.9,CIV,6,0,0,84,39,6,63,0,-,0,0,0,0,-
485,4,0.9,CIV,100,0,0,100,100,100,100,82,-,0,0,0,0,-
486,8,0.9,CIV,100,0,7,100,100,100,100,90,-,0,0,0,0,-
487,5,0.9,CIV,46,0,0,100,98,88,99,44,-,0,0,0,10,-
488,5,0.9,CIV,37,0,0,99,100,37,85,31,-,0,0,0,0,-
489,9,0.9,CIV,100,0,49,100,100,100,100,51,-,0,0,0,0,True
490,5,0.9,CIV,80,0,42,100,100,90,100,58,-,0,0,0,69,True
491,1,0.9,CIV,98,0,10,100,91,100,100,52,-,0,0,0,35,-
492,c,0.9,CIV,99,0,20,100,100,100,100,50,-,0,0,0,42,-
493,2,0.9,CIV,6,0,0,100,41,6,61,0,-,0,0,0,0,-
494,2,0.9,CIV,22,0,0,57,90,22,83,0,-,0,0,0,0,-
495,8,0.9,CIV,100,0,0,100,91,100,100,80,-,0,0,0,0,True
496,d,0.9,CIV,85,0,0,100,96,96,72,0,-,15,0,0,0,-
497,1,0.9,CIV,84,0,0,100,97,94,77,30,-,0,0,0,0,True
498,5,0.9,CIV,100,0,19,100,100,100,100,78,-,0,0,0,0,True
499,3,0.9,CIV,100,0,42,100,100,100,25,58,-,0,0,0,0,True
500,9,0.9,CIV,100,0,84,100,71,100,90,16,-,0,0,0,0,True
