PLOTID,Geo id,Area ha,Country,system:index,EUFO 2020,GLAD Primary,TMF undist,JAXA FNF 2020,GFC TC 2020,GLAD LULC 2020,ESA TC 2020,TMF disturbed,RADD alerts,TMF plant,Oil palm Descals,Oil palm FDaP,Cocoa ETH,WDPA
57,9ce38258956be69d1698e1b9bdbe2a6faeaea90fe365391f67be5e661f203867,0.1,CIV,000000000000000012ef,100,0,0,100,100,100,100,100,-,0,0,0,0,-
58,1ef6c8b4f02fabb9868f459725073beb58a8cb2d731d056022d80b6cd1faaa53,0.1,CIV,00000000000000000057,100,0,1,100,33,100,100,99,-,0,0,0,0,-
59,b258cebe04ab347af1236de6817769424d606d9abcd80d4381d16381f35ea109,0.1,CIV,00000000000000000126,100,0,45,100,100,100,100,55,-,0,0,0,100,-
60,0edf4092f90078afb32cdca121ae31e6f7934fa2ed992491572dca7f0923ae3f,0.1,CIV,000000000000000001a0,100,0,66,100,100,100,100,34,-,0,0,0,0,-
61,570a89c754bf3b700ba48693dfb15b60469b096645d78ad2f30f1e862ba8c4b3,0.1,CIV,00000000000000000224,100,0,0,100,100,100,100,100,-,0,0,0,0,-
62,012a346368019e9f54c7552b14f97ccedc37a617d897f224ca6f511c3d2dbd66,0.1,CIV,000000000000000002a5,100,0,56,100,78,100,100,22,-,0,0,0,0,-
63,0599b40fadd42c5ac3723ee8b0bd3abe72d0543ed79f50dbd02fd2c8228db57a,0.1,CIV,00000000000000000368,100,0,34,100,100,100,100,66,-,0,0,0,0,-
64,34eb6cf2e701b353f662506542871e2ded0591064253c172a929b98f1e2055bc,0.1,CIV,000000000000000003e9,100,0,89,100,100,100,100,11,-,0,0,0,0,-
65,3587db53ae32d517f7a4e8d377757b92e2ee995da882546c06f14c2b0b778713,0.1,CIV,000000000000000006af,1,0,0,100,56,100,99,78,-,0,0,0,100,-
66,ba4ac343118ed06b27743ebeeb01c45e7bd48108420dce9c0427d4fedd4ee116,0.1,CIV,00000000000000000c0e,100,0,0,100,100,100,100,100,-,0,0,0,67,-
67,658c0275d51b154fcbdd10e4f338d1ed35cc2c68cafc79393212e56ada70ab92,0.1,CIV,00000000000000000e1d,100,0,0,100,56,100,100,33,-,0,0,0,100,-
68,bf6e6f0caf70a4791ada8281d139ec57e44f1898711ee374427663e1bd729262,0.1,CIV,000000000000000010e1,56,0,56,100,56,100,100,44,-,0,0,0,33,-
69,0c0af4090bd400769d73bf7177905074716d042b32c55e746b705dccc652f19f,0.1,CIV,000000000000000000e2,100,0,100,100,70,100,100,0,-,0,0,0,0,-
